years_practice,school,name,title,graduate_year,specialties,insurance
,University of San Diego,Shane Padamada,"LPC Intern, ,PCCI,MA,, ",,"Trauma and PTSD,Anxiety,Depression",
20+ Years,San Diego State University,Caroline Ridout Stewart,"MSW,LCSW,Clinical Social Work/Therapist,MA,, ",1986,"Anxiety,Mood Disorders,Infertility","Aetna only if pre-authorized,BlueCross and BlueShield,Cigna,Tufts,UnitedHealthcare,Out of Network"
10+ Years,"University of Lousville, Ky",M Zenilde A M De Lima,"MD,, ,Psychiatrist",2001,"Child or Adolescent,Mood Disorders,Trauma and PTSD","Aetna,Anthem,BlueCross and BlueShield,TRICARE,Out of Network"
10 Years,University of Denver,Dr. Huong Diep,"PsyD,Psychologist,, ",2012,"Child or Adolescent,Testing and Evaluation,Transgender",
20+ Years,,Melonie Gale,"MA,, ,LMFT,Marriage & Family Therapist,LPCC,NCC,LMHC",,"Relationship Issues,Self Esteem,Anxiety","ACI Specialty Benefits,Aetna,American Behavioral,Ceridian,Cigna,Horizon Healthcare,LifeSynch,Multiplan,Optum,PHCS,UnitedHealthcare,Out of Network"
,,Love Therapy Center,"Marriage & Family Therapist Intern, ,MFTI",,"Addiction,ADHD,Child or Adolescent",
19 Years,San Diego State University,Abigail Burd,"MSW,LCSW,Clinical Social Work/Therapist,BCD,, ",2008,"Women's Issues,Addiction,Depression","Cigna,Out of Network"
,,Centro Ilumina Terapia Latinos EspaÌ±ol-Spanish,Marriage & Family Therapist,,"Parenting,Family Conflict,Relationship Issues",Community Health Group
,,Gina Smith,"CDC,LMFT,MA,, ,Marriage & Family Therapist",,"Codependency,Anxiety,Addiction",
,,Edon Berkenstadt,"LMFT,, ,Marriage & Family Therapist",,"Men's Issues,Trauma and PTSD,Autism","ACI Specialty Benefits,Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,ComPsych,First Choice Health,Health Net,Humana,I accept both HMO's and PPO's,MHN,Magellan Behavioral Health,Medicaid,Medicare,Molina,Optum,TRICARE,TriWest,UnitedHealthcare,Out of Network"
10 Years,San Diego State University,Joelle A Tonkovich,"LCSW,Clinical Social Work/Therapist,, ",1998,"Trauma and PTSD,Depression,Eating Disorders","APS Healthcare,Aetna,Anthem,BlueCross and BlueShield,Cigna,Coventry,Health Net,MHN,Military OneSource,TRICARE,TriWest,ValueOptions"
20+ Years,University of Texas at Austin,M. Gene Ondrusek,"Psychologist,, ,PhD",1978,"Anxiety,Depression,Relationship Issues","Aetna,Behavioral Health Systems,BlueCross and BlueShield,Ceridian,Cigna,Corphealth,First Choice Health,MHN,Magellan Behavioral Health,Medicare,PacifiCare,TRICARE,TriWest,UnitedHealthcare,WellPoint"
5 Years,National University,Sean Brannan,"Marriage & Family Therapist Intern, ,CHt, ,IMF",2012,"Anxiety,Relationship Issues,Depression",
6 Years,San Diego State University,"Matthew Koch, LMFT","LMFT,, ,Marriage & Family Therapist",2005,"Codependency,Addiction,Anxiety","Aetna,Magellan Behavioral Health"
15+ Years,California School of Professional Psychology,Christy Bantugan-Bohan,"Psychologist,, ,PHD",1993,"Relationship Issues,Anxiety,Multicultural Issues","Aetna,Anthem,Beech Street,BlueCross and BlueShield,CCN,First Health,GEHA,TRICARE,TriWest,Out of Network"
,San Diego State University,Caroline Myra Loretan,"MFT,, ,Marriage & Family Therapist",2001,"Parenting,Relationship Issues,Pregnancy, Prenatal, Postpartum","Blue Shield,BlueCross and BlueShield,Cigna,HMC HealthWorks,MHN,Magellan Behavioral Health,Out of Network"
20+ Years,San Diego State University,Garet Bedrosian,Clinical Social Work/Therapist,1983,"Relationship Issues,Depression,Anxiety","Aetna,Out of Network"
2 Years,California School of Professional Psychology,Micol Gonella,"PsyD,Psychologist,, ",2014,"Anxiety,Self Esteem,Stress","Blue Shield,Cigna,Magellan Behavioral Health,Out of Network"
8 Years,Southern California,Debbra Tessmer-Wagner,"LMFT,, ,Marriage & Family Therapist",2010,"Relationship Issues,Trauma and PTSD,Mood Disorders","Most PPOs,Out of Network"
,,Shanelle D. Johnson,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",,"Marital and Premarital,Mood Disorders,Dual Diagnosis",
30+ Years,University of California San Diego,"Dan Gardner, MD","MD,DLFAPA,, ,Psychiatrist",1977,"Traumatic Brain Injury,Anxiety,Relationship Issues",
32 Years,Universidad Anahuac,Olivia Rosillo,"LMFT,MA,, ,Marriage & Family Therapist",,"Family Conflict,Relationship Issues,Emotional Disturbance",Out of Network
2 Years,San Diego State University,William J. Mitchell,"Marriage & Family Therapist Intern, ,MFTI,, ,MS",2014,"Relationship Issues,Family Conflict,Weight Loss",
20+ Years,,Jim Hatton,PhD,,"Obsessive-Compulsive (OCD),Parenting,Relationship Issues",
15+ Years,Friends University,Donald W Welch,"PhD,LMFT,, ,Marriage & Family Therapist",1998,"Depression,Relationship Issues,Child or Adolescent",All PPO's depending on client's plan
5 Years,California School of Professional Psychology,Alexa Rabin,"PsyD,Psychologist,, ",2013,"Child or Adolescent,Parenting","Aetna,Cigna,Employee Assistance Benefits,Health Net,Medicare,Out of Network"
20+ Years,University of San Diego,Pete Mcclintock,"LMFT,MA,, ,Marriage & Family Therapist",1988,"Relationship Issues,Child or Adolescent,Depression","Aetna,Out of Network"
,,Mojgan Jahan,"PsyD,Psychologist,, ",,"Trauma and PTSD,Anxiety,Addiction",Out of Network
20+ Years,San Diego State University,Penny Foreman,"BCD,LCSW,Clinical Social Work/Therapist,, ,LMFT",1979,"Relationship Issues,Depression,Addiction","APS Healthcare,Aetna,Anthem,Beech Street,BlueCross and BlueShield,Ceridian,Cigna,Coventry,Health Net,Humana,Magellan Behavioral Health,Medicare,New Directions,Optum,TRICARE,TriWest,UniCare,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
15+ Years,University of San Diego,Lucia R. Desoto,"LMFT,, ,Marriage & Family Therapist",1996,"Trauma and PTSD,Anxiety,Depression","Out of network,TRICARE,TriWest,Out of Network"
15+ Years,San Francisco State University,Sabrina Parr,"MFT,MS,, ,Marriage & Family Therapist",1996,"Relationship Issues,Parenting,Life Coaching","Aetna,Anthem,Ceridian,ComPsych,Corphealth,Horizon Healthcare,LifeSynch,Military OneSource,TRICARE,TriWest,ValueOptions,WellPoint,Out of Network"
10+ Years,California School of Professional Psychology,Lisa Talerico,"PsyD,Psychologist,, ",2003,"Depression,Anxiety,Eating Disorders","Aetna,BlueCross and BlueShield,Cigna,PPO,TriWest,Out of Network"
20+ Years,Emory University,Ruth Samad,"Psychologist,RN,, ,PhD",1982,"Child or Adolescent,Depression,Parenting","Aetna,Anthem,Blue Cross,Out of Network"
30+ Years,,Connie Strohbehn,"LMFT,, ,Marriage & Family Therapist",,"Depression,Anxiety,Relationship Issues",
7 Years,Pacific University,Heidi M Rodenberger,"PsyD,Psychologist,, ",2010,"Depression,Anxiety,Relationship Issues","Aetna,Blue Shield,BlueCross and BlueShield,Cigna,GEHA,GEHA - Aetna Signature Administrators,Magellan Behavioral Health,Meridian,Out of Network"
6 Years,Azusa Pacific University,Tatiana Moore,"LMFT,, ,Marriage & Family Therapist",,"Relationship Issues,Trauma and PTSD,Family Conflict",Veteran's Affairs Benefits
10 Years,"University of Colorado, Boulder",Eunice Kim,"Psychologist,, ,PhD",2005,,Out of Network
15+ Years,San Diego State University,Leslie A Campbell,"LCSW,Clinical Social Work/Therapist,, ",1999,"Trauma and PTSD,Depression,Grief","BDA Morneau Shepell,ComPsych,CompEAP,EAP Consultants,Medicaid,Medicare,TriWest,Out of Network"
10 Years,California School of Professional Psychology,Thomas Wall,"MFT,MA,, ,Marriage & Family Therapist",2002,"Addiction,Depression,Anxiety",ValueOptions
15+ Years,University for Humanistic Studies,Karen Gless,"RN,PhD,LMFT,, ,Marriage & Family Therapist",1985,,BlueCross and BlueShield
5 Years,Alliant International University,Heather Erickson,"LMFT,MA,, ,Marriage & Family Therapist",,"Relationship Issues,Obesity,Anger Management",Out of Network
,,Joren Coleman,"LCSW,Clinical Social Work/Therapist,, ",,"Trauma and PTSD,Anxiety,Anger Management","Cigna,Lyra,TRICARE,TriWest,Out of Network"
,,Christopher Wilhelm,"LPC Intern, ,LPC",,"Addiction,Trauma and PTSD,Depression",Out of Network
3 Years,University of Nebraska-Lincoln,Autumn Backhaus,"Psychologist,, ,PhD",2010,"Trauma and PTSD,Depression,Anxiety","Medicare,TRICARE,Out of Network"
10 Years,San Diego State University,Robyn Coughlin,"LCSW,Clinical Social Work/Therapist,, ",2002,"Anxiety,Depression,Child or Adolescent","Cigna,Out of Network"
20+ Years,San Diego State University,Robert L Bray,"LCSW,Clinical Social Work/Therapist,, ,PhD",1979,"Trauma and PTSD,Anxiety,Grief",
10+ Years,University of Minnesota,Karen Kerschmann,"LCSW,Clinical Social Work/Therapist,, ",1999,"Anxiety,Depression,Parenting","All PPO insurance is welcomed,Out of Network"
30+ Years,United States International University,"Psychotherapy of San Diego, Dr Silbert RN,CNS,PHD",", ,PhD,FACCS,Psychologist,RN,CNS, ",1987,"Sexual Addiction,Sex Therapy,Depression",Out of Network
20+ Years,Columbia University,Sherry Reasbeck,"PhD,MFT,, ,Marriage & Family Therapist",1998,"Depression,Anxiety,Career Counseling","Various PPO's,Out of Network"
,,Andrea Karp,"PsyD,Psychologist,, ",,"Anxiety,Depression,Grief","Any PPO insurance,Medicare,Out of Network"
14 Years,University of San Diego MFT Program,John Brandeis Boesky,"DLC,, ,Marriage & Family Therapist,CHT,MFT,MNLP, ",2000,"Relationship Issues,Life Coaching,Sports Performance",I send invoices to Health insurance plans
10+ Years,University of San Diego,LaunchPad Career Counselors,MEd,1997,Career Counseling,
7 Years,Palo Alto University,Uri Kugel,"Psychologist,, ,PhD",2014,"Child or Adolescent,Parenting,Anxiety","Anthem,Blue Cross,MHN,Out of Network"
2 Years,Bethel Seminary San Diego,Krista M. Cheuk,"Marriage & Family Therapist Intern, ,MFTI,MA,, ",2016,"Anxiety,Grief",
7 Years,Kansas University,Kerrie Aiello,"LCSW,Clinical Social Work/Therapist,, ",1985,,Out of Network
20+ Years,"University of California, San Diego",N Jennifer Oke,"Psychologist,, ,PhD",1993,"Autism,Anxiety,Behavioral Issues",Out of Network
,,Lauren Elisabeth Pichard,"PsyD,Psychologist,, ",,"Addiction,Chronic Pain,Trauma and PTSD","Beacon,Cigna,Magellan Behavioral Health,Medicare,Optum,TRICARE,UnitedHealthcare,ValueOptions,Out of Network"
15+ Years,Seattle Pacific University,Barbara Bisio,"Psychologist,, ,PhD",2007,"ADHD,Anxiety,Marital and Premarital","Aetna,BlueCross and BlueShield,Out of Network"
20+ Years,California School of Professional Psychology,Barbara Gaetano,"PhD,MFT,, ,Marriage & Family Therapist",1986,"Relationship Issues,Child or Adolescent,Grief","All PPO Plans,TRICARE,TriWest"
20+ Years,California School of Professional Psychology,Bapsi Slali,"Psychologist,, ,PhD",1978,"Relationship Issues,Depression,Anxiety","Aetna,BlueCross and BlueShield,Holman Group,Integrated Health Plan,MHN,Magellan Behavioral Health,Medica,Medicare,PacifiCare,TRICARE,USBH,UnitedHealthcare,Out of Network"
7 Years,National University,Michele N Alexander,"BSW, ,LMFT,MA,, ,Marriage & Family Therapist",2008,"Trauma and PTSD,Child or Adolescent,Marital and Premarital",Out of Network
,,RCA Counseling,"LCSW,Clinical Social Work/Therapist,, ",,"Anxiety,Spirituality,Trauma and PTSD",
,PGSP-Stanford Psy.D. Consortium,Dr. Ana Laura Arteaga-Biggs,"PsyD,Psychologist,MA,, ",2014,"Grief,Pregnancy, Prenatal, Postpartum,Relationship Issues","Medicare,TriWest,Out of Network"
20+ Years,Temple University,Stacy Kim Johnston,"Psychologist,, ,PhD",1998,"Relationship Issues,Divorce,Anger Management","Aetna,Health Net,MHN,Magellan Behavioral Health,Medi-cal private sector (MHN),Medicare,Molina,Optum,Others not listed may be accepted. Please inquire.,TRICARE,TriWest,Out of Network"
15+ Years,National University,Colleen Linnertz,"MFT,, ,Marriage & Family Therapist",1998,"Grief,Self Esteem,Life Transitions","Blue Shield,Cigna,Health Net,MHN,Magellan Behavioral Health,Out of Network"
6 Years,,Li Liang,"MD,, ,Psychiatrist",,,"Aetna,Anthem,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,MHN,Magellan Behavioral Health,Multiplan,Optum,PacifiCare,TRICARE,TriWest,UnitedHealthcare,ValueOptions"
9 Years,Alliant International University,Dani Graziano,"MFT,MA,, ,Marriage & Family Therapist",2007,"Relationship Issues,Self Esteem,Grief","TRICARE,TriWest,Out of Network"
30+ Years,Lone Mountain College,Sheila Henry,Marriage & Family Therapist,1973,"Anxiety,Depression,Stress","Behavioral Health Systems,Blue Shield,Humana,Life Era Inc.,Magellan Behavioral Health,Optum,TRICARE,U.S. Behavioral Health,UnitedHealthcare,Out of Network"
10+ Years,,The Divorce Help Clinic,,,"Divorce,Relationship Issues,Family Conflict",
20+ Years,Columbia University School of Social Work,Yisook E Baik,"MSW,LCSW,Clinical Social Work/Therapist,, ",1989,"Marital and Premarital,Family Conflict,Women's Issues",
,Argosy University,Krystle Joy Briese,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Child or Adolescent,Grief,Behavioral Issues",Sharp
,,Achieve TMS: Free Consultation,Marriage & Family Therapist,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Check,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
6 Years,"California School of Professional Psychology, LA",Kevin M Ramotar,"PsyD,Psychologist,, ",2013,"ADHD,Depression,Anxiety",Out of Network
15+ Years,Columbia University,Rachel Rabinor,"LCSW,Clinical Social Work/Therapist,MS,, ",2003,"Pregnancy, Prenatal, Postpartum,Infertility,Grief","Most PPOs,Out of Network"
5 Years,University of San Diego,Jodi Staszak,"LMFT,MA,, ,Marriage & Family Therapist",2010,"Relationship Issues,Trauma and PTSD,Anxiety","Aetna,VA Choice,Out of Network"
20+ Years,U.S.I.U.,Karen Harten Broida,"LMFT,MA,, ,Marriage & Family Therapist",1980,"Relationship Issues,Depression,Anxiety","Aetna,Anthem,BlueCross and BlueShield,Cigna,Health Net,Humana,MHN,Magellan Behavioral Health,UnitedHealthcare,ValueOptions,WellPoint,Out of Network"
,,Erin Leigh Cook,"PsyD,Psychologist,, ",,"Learning Disabilities,Relationship Issues,Infidelity",
15+ Years,"University of Michigan, Ann Arbor",Azmaira H Maker,"Psychologist,, ,PhD",1996,"Child or Adolescent,Relationship Issues,Testing and Evaluation","PPOs,Out of Network"
20+ Years,UCLA,Irwin Ford Rosenfarb,"Psychologist,, ,PhD",,"Depression,Bipolar Disorder,Psychosis",Out of Network
6 Years,Nova Southeastern University,Dalea Alawar,"PsyD,Psychologist,, ",2012,"Addiction,Relationship Issues,Anxiety",
15+ Years,New York University,Troy Joseph Boyle,"LCSW,Clinical Social Work/Therapist,, ,PhD",2000,"Self Esteem,Substance Abuse,Relationship Issues","Anthem,Beacon,Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Harrington Health,MHN,MHNet Behavioral Health,Magellan Behavioral Health,TriWest,ValueOptions,Out of Network"
,,Joseph H. Segal,"Marriage & Family Therapist Intern, ,MA",,"Relationship Issues,Men's Issues,Depression",
20+ Years,California School of Professional Psychology,Libe Weiss,"MSW,Psychologist,, ,PhD",1987,"Depression,Anxiety","Aetna,Anthem,Blue Care Network,Blue Cross,BlueCross and BlueShield,TRICARE,ValueOptions,WellPoint,Out of Network"
7 Years,Alliant International University,Marni L Greenberg,"PsyD,Psychologist,, ",2008,"Pregnancy, Prenatal, Postpartum,Parenting,Coping Skills","Anthem,BlueCross and BlueShield,Cigna,MHN,Magellan Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
< 2 Years,National University,Glen F Pastores,"LMFT,, ,Marriage & Family Therapist",2002,"Child or Adolescent,ADHD,School Issues","Aetna,Beech Street,Blue Cross,Cigna,E4Health,Kaiser,MHN,PHCS,TRICARE,ValueOptions"
6 Years,Fuller Theological Seminary,Andrew Last,"LMFT,CSAT,, ,Marriage & Family Therapist",2010,"Sexual Addiction,Spirituality,Relationship Issues","Out of Network,Out of Network"
,,Jennifer Moynihan,"LCSW,Clinical Social Work/Therapist,, ",,"Anxiety,Depression,Coping Skills","Aetna,Anthem,Anthem Blue Cross,Behavioral Health Systems,Blue Shield,BlueCross and BlueShield,Cigna,Health Net,MHN,Magellan Behavioral Health,Medicare,TRICARE,TriWest,Out of Network"
15+ Years,,Addiction & Mental Health Counseling of San Diego,"Psychologist,, ,PhD",,"Addiction,Emotional Disturbance,Depression",
10+ Years,Alliant International University,Rachelle Amini Robinson,"PsyD,MSW,Psychologist,, ",2007,"Eating Disorders,Anxiety,Child or Adolescent",
7 Years,Florida State University,"Lynn Waldman, LCSW","LCSW,Clinical Social Work/Therapist,, ",1990,"Divorce,Marital and Premarital,Parenting",
10 Years,"UC San Diego, School of Medicine",Robert Zalewski-Zaragoza,"MD,, ,Psychiatrist",2002,,Out of Network
18 Years,Boston University,Nicole Iodice,"LCSW,Clinical Social Work/Therapist,, ",1999,"Child or Adolescent,Adoption,Infertility",Out of Network
15+ Years,University of San Diego,Andra Alise Coulter,"LMFT,, ,Marriage & Family Therapist",1999,"Relationship Issues,Depression,Child or Adolescent","Aetna,Cigna,MHN,TRICARE,TriWest,Out of Network"
,,Michaelle Jinnette,"LMFT,MA,, ,Marriage & Family Therapist",,"Relationship Issues,Family Conflict,Mood Disorders","TRICARE,Out of Network"
20+ Years,Professional School of Psychological Studies,Lauren VanPraag,"MFT,, ,Marriage & Family Therapist",1985,"Depression,Anxiety,Marital and Premarital","ACI Specialty Benefits,Aetna,All self pay at sliding scale rate.,Beacon,Beech Street,BlueCross and BlueShield,Ceridian,ComPsych,Corphealth,Holman Group,Horizon Healthcare,Humana,MHN,Magellan Behavioral Health,Military OneSource,Optum,TRICARE,TriWest,UnitedHealthcare,ValueOptions"
20+ Years,M.S.,Daniel ORourke,"LMFT,MS,, ,Marriage & Family Therapist",1994,"Substance Abuse,Gambling,Men's Issues","Aetna,Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,Ceridian,Cigna,Military OneSource,PacifiCare,TRICARE,ValueOptions,Out of Network"
,,Jacqueline Jimenez,"PsyD,Pre-Licensed Professional,, ",,,"Aetna,TRICARE,Out of Network"
15+ Years,San Diego State University,Lucinda Nerhood,Clinical Social Work/Therapist,1986,,"Aetna,Anthem,BlueCross and BlueShield,Ceridian,E-4,Holman Group,MHN,Magellan Behavioral Health,Optum,WellPoint,Out of Network"
